Book.Id,Title,Author,Author.l.f,Additional.Authors,ISBN,ISBN13,My.Rating,Average.Rating,Publisher,Number.of.Pages,Year.Published,Original.Publication.Year,Exclusive.Shelf,Started.Reading,Finished.Reading
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,0316017922,9780316017923,,4.19,"Little, Brown and Company",309,2008,2008,to-read,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,0765387565,9780765387561,,4.2,Tor Books,448,2020,2020,to-read,,
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,,,,4.22,Atria Books,386,2016,2016,to-read,,
26889576,The Big Short: Inside the Doomsday Machine,Michael   Lewis,"Lewis, Michael",,039335315X,9780393353150,,4.29,W. W. Norton & Company,291,2015,2010,to-read,,
17331350,"Think Like a Freak: How to Solve Problems, win Fights and Be a Slightly Better Person",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,0062218387,9780062218384,,3.86,William Morrow,288,2014,2014,to-read,,
6402364,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"Levitt, Steven D.",Stephen J Dubner,0060889578,9780060889579,,4,William Morrow,270,2009,2009,to-read,,
2096296,The Story of D-Day,Bruce Bliven Jr.,"Jr., Bruce Bliven",,0394848861,9780394848860,3,3.78,Random House Books for Young Readers,151,1981,1956,read,12/1/19,1/16/20
1181999,Nosotras que nos queremos tanto,Marcela Serrano,"Serrano, Marcela",,9681903692,9789681903695,4,3.89,Alfaguara,358,1996,1991,read,1/1/21,1/8/21
57522722,El sorprendente encanto de las cosas corrientes,Catherine Gray,"Gray, Catherine",,,9788417981525,3,4.04,Urano,378,2021,2021,read,1/10/21,3/1/21
408615,Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza,"Ilibagiza, Immaculée",Steve Erwin,1401908977,9781401908973,5,4.42,Hay House,214,2007,2006,read,1/2/17,1/29/17
866618,El principito,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Bonifacio del Carril,,,4,4.32,Mariner Books,87,2001,1943,read,1/3/17,1/28/17
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,,,2,3.85,Bantam Classics,201,1972,1915,read,8/12/19,8/29/19
44146624,Días sin ti,Elvira Sastre,"Sastre, Elvira",,8432234958,9788432234958,3,4.07,Seix Barral,264,2019,2019,read,5/21/20,6/28/20
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,0735211302,,5,4.37,Avery,319,2018,2018,read,5/28/22,8/25/22
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,,,4,4.22,Gallery Books,288,1998,1936,read,2/15/23,6/28/23
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,0061234001,9780061234002,5,4,William Morrow,268,2006,2005,read,9/19/23,9/28/23
8609921,El ghetto de las ocho puertas,Alejandro Parisi,"Parisi, Alejandro",,9500730979,9789500730976,,4.38,Sudamericana,318,2009,2009,to-read,,
31145052,The Librarian of Auschwitz,Antonio Iturbe,"Iturbe, Antonio",Lilit Žekulin Thwaites,1627796185,9781627796187,5,4.16,Henry Holt and Co. (BYR),424,2017,2012,read,7/29/21,8/1/21
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,5,4.62,Arthur A. Levine Books,759,2007,2007,read,3/27/21,4/1/21
57768902,Los secretos del castillo,Osvlado Semrik,"Semrik, Osvlado",,,,5,4.62,Editorial Vestales,304,2021,2021,read,7/26/21,7/27/21
13542383,The Secret Lives of Codebreakers: The Men and Women Who Cracked the Enigma Code at Bletchley Park,Sinclair McKay,"McKay, Sinclair",,0452298717,9780452298712,,3.79,Plume,352,2012,2010,to-read,,
1,Harry Potter and the Half-Blood Prince (Harry Potter #6),J.K. Rowling,"Rowling, J.K.",,,,5,4.58,Scholastic Inc.,652,2006,2005,read,3/16/21,3/27/21
27778352,Voces de Chernóbil: Crónica del futuro,Svetlana Alexievich,"Alexievich, Svetlana",Ricardo San Vicente,6073139632,9786073139632,5,4.41,Debate,408,2016,1997,read,6/10/19,6/25/19
4667024,The Help,Kathryn Stockett,"Stockett, Kathryn",,0399155341,9780399155345,5,4.47,G.P. Putnam's Sons,464,2009,2009,read,9/28/17,11/15/17
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,0670069019,9780670069019,,4.16,Viking Canada,480,2008,2005,to-read,,
17874266,La quinta ola,Rick Yancey,"Yancey, Rick",Pilar Ramírez Tello,8427204221,9788427204225,5,4.01,RBA,474,2013,2013,read,9/25/16,10/28/16
31702812,A Dog's Way Home,W. Bruce Cameron,"Cameron, W. Bruce",,076537465X,9780765374653,5,4.19,Forge Books,336,2017,2017,read,3/19/19,4/27/19
516809,Alcatraz from Inside: The Hard Years 1942-1952,Jim Quillen,"Quillen, Jim",,0962520616,9780962520617,2,3.89,Golden Gate Natl Park Assn,164,1991,1991,read,9/3/19,11/6/19
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Otto H. Frank, Mirjam Pressler, Barbara Mooyaart-Doubleday, Γιάννης Θωμόπουλος, Susan Massotty, Eleanor Roosevelt",,,4,4.19,Bantam,283,1993,1947,read,2/1/17,2/25/17
18692431,"Everything, Everything",Nicola Yoon,"Yoon, Nicola",David  Yoon,0553496646,9780553496642,5,3.98,Delacorte Books for Young Readers,312,2015,2015,read,5/1/17,5/17/17
32283133,"Origin (Robert Langdon, #5)",Dan Brown,"Brown, Dan",,0385514239,9780385514231,5,3.89,Doubleday,461,2017,2017,read,4/15/19,4/30/19
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,0385538170,9780385538176,5,3.88,Doubleday,463,2013,2013,read,11/1/19,11/15/19
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,,,4,3.91,Anchor,489,2006,2003,read,9/1/19,10/1/19
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,,,5,4.26,Harper Perennial Modern Classics ,323,2006,1960,read,2/15/19,2/28/19
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,4,4.5,Scholastic Inc.,912,2004,2003,read,2/23/21,3/2/21
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Jim Kay, Mary GrandPré",,,4,4.56,Scholastic,734,2002,2000,read,2/5/21,2/19/21
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,5,4.58,Scholastic Inc.,435,2004,1999,read,9/1/20,9/3/20
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,5,4.43,Arthur A. Levine Books,341,1999,1998,read,8/20/20,8/24/20
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,,,5,4.47,Scholastic Inc,309,2003,1997,read,8/12/20,8/16/20
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,159420571X,9781594205712,,3.85,Penguin Press,297,2014,2014,to-read,,
48836876,The Boy Who Followed His Father into Auschwitz: A True Story of Family and Survival,Jeremy Dronfield,"Dronfield, Jeremy",,0063019299,9780063019294,,4.47,Harper Paperbacks,464,2020,2018,to-read,,
52761909,The Paris Library,Janet Skeslien Charles,"Charles, Janet Skeslien",,1982134194,9781982134198,,4.08,Atria Books,368,2021,2021,to-read,,
38359036,"The Tattooist of Auschwitz (The Tattooist of Auschwitz, #1)",Heather   Morris,"Morris, Heather",,006287067X,9780062870674,,4.29,Harper,272,2018,2018,to-read,,
92057,The Autobiography of Malcolm X,Malcolm X,"X, Malcolm",Alex Haley,,,,4.35,Ballantine Books,466,2015,1965,to-read,,
